FID,Join_Count,TARGET_FID,GRIDCODE,OBJECTID,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC10,Name,HUType,HUMod,Shape_Leng,Shape_Le_1,Shape_Area,ws_id,area_km2,area_acres
0,1,0,0,1022,{F8A8CD90-59FB-4728-A3CD-37B0A76ABCCB}, , , , ,10/24/2012 0:00:00,0,100574.000000000000000,407.009999999999991,CA,1802012306,South Fork Feather River,S, ,1.639493920630000,155992.151112999999896,407013181.953999996185303,17,0.031208483918000,7.711784323520000
1,1,1,5,1,{0EC158B3-4CF9-4AE5-9825-8F4AA9550A5A}, , , , ,10/24/2012 0:00:00,0,136532.000000000000000,552.529999999999973,CA,1802015901,Honcut Creek,S, ,1.351341801660000,131423.870969000010518,552532375.468000054359436,1,0.002825487480660,0.698193161745000
2,1,2,6,232,{6B4EEC0E-066D-43E9-99AB-A5C55B1662CF}, , , , ,10/24/2012 0:00:00,0,40212.000000000000000,162.729999999999990,CA,1804001301,Camp Creek,S, ,1.035032834660000,96579.817409700001008,162733514.673000007867813,2,0.122269849313000,30.213537756400001
3,1,3,77,662,{4BBEA429-125F-42DE-8FA3-C7BDC3C39421}, , , , ,10/24/2012 0:00:00,0,123132.000000000000000,498.300000000000011,"CA,NV",1605010105,Lake Tahoe,W, ,1.222013512320000,120301.559586000003037,497862292.871999979019165,5,497.862292872000012,123024.451797999994596
4,1,4,91,661,{A0B189D6-ADED-4D50-99DE-403288F6097B}, , , , ,10/24/2012 0:00:00,0,38912.000000000000000,157.469999999999999,"CA,NV",1605010102,Marlette Lake-Frontal Lake Tahoe,F, ,1.015352891670000,101579.911099999997532,157352352.134999990463257,4,157.350537502000009,38882.164593499997864
5,0,5,455,0, , , , , ,,0,0.000000000000000,0.000000000000000, , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000
6,0,6,12497,0, , , , , ,,0,0.000000000000000,0.000000000000000, , , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000
7,1,7,122958,1051,{82FF1AE6-422D-46F0-990B-C64CEAFE1C53}, , , , ,10/24/2012 0:00:00,0,76410.000000000000000,309.220000000000027,CA,1802012907,Lower South Fork American River,S, ,1.319884035550000,129480.971919000003254,309219917.109000027179718,43,36.937072798700001,9127.349464209999496
8,1,8,239771,1035,{0AEB20D1-BC68-4379-B6E0-95B098C5A967}, , , , ,10/24/2012 0:00:00,0,49953.000000000000000,202.150000000000006,CA,1802012602,Wolf Creek,S, ,0.890900259808000,87304.552131899996311,202155769.793999999761581,29,75.380626165300001,18626.958383799999865
9,1,9,257675,1036,{9B566C9B-E161-4589-B553-250B321B8B9D}, , , , ,10/24/2012 0:00:00,0,64374.000000000000000,260.509999999999991,CA,1802012603,Middle Bear River,S, ,1.374457576020000,133540.449090999987675,260512969.106999993324280,30,52.489872630999997,12970.529999599999428
10,1,10,303398,767,{6DE08BA6-5116-4ED9-804C-BC70E9302F44}, , , , ,10/24/2012 0:00:00,0,62812.000000000000000,254.189999999999998,CA,1605010103,Upper Truckee River-Frontal Lake Tahoe,F, ,0.971224477672000,95312.768153700002586,254113854.102999985218048,10,254.113151633999991,62792.727270199997292
11,1,11,307778,768,{2D1B6EEF-927B-4736-965F-8EDDD357EC91}, , , , ,10/24/2012 0:00:00,0,64340.000000000000000,260.370000000000005,CA,1605010104,General Creek-Frontal Lake Tahoe,F, ,1.261634081730000,123979.900976999997511,260385843.958000004291534,11,260.385843958000009,64342.743299800000386
12,1,12,360632,661,{A0B189D6-ADED-4D50-99DE-403288F6097B}, , , , ,10/24/2012 0:00:00,0,38912.000000000000000,157.469999999999999,"CA,NV",1605010102,Marlette Lake-Frontal Lake Tahoe,F, ,1.015352891670000,101579.911099999997532,157352352.134999990463257,4,157.350537502000009,38882.164593499997864
13,1,13,367505,1031,{C02F72E8-0466-49F2-9BFA-7942B081B508}, , , , ,10/24/2012 0:00:00,0,57256.000000000000000,231.710000000000008,CA,1802012508,Deer Creek,S, ,1.385375161580000,130470.391243000005488,231704742.993000000715256,25,124.434129947000002,30748.343148100000690
14,1,14,395042,1050,{1D3AB91F-3EF8-4FB2-8DE4-85918D9621A7}, , , , ,10/24/2012 0:00:00,0,64223.000000000000000,259.899999999999977,CA,1802012906,Weber Creek,S, ,1.281927562680000,122002.164571999994223,259900905.270000010728836,42,102.022423962000005,25210.289991199999349
