FID,Join_Count,TARGET_FID,gridcode,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc12,name,hutype,humod,tohuc,noncontrib,noncontr_1,shape_Leng,ObjectID,Shape_Le_1,Shape_Area,dam_waters,area_acres,area_km2,ws_id
0,1,0,16804, , , , , ,, ,0,0, , , , , , ,0,0,0,0,0.167471229,0.001387161,French Lake,3277.379883,13.2630997,20
1,1,1,17132,{4A62035A-36E2-4519-A240-92EAB9E4B2CE},{F33FD32C-EDD2-4F49-8DCB-29D87CFA08AA}, , , ,1/18/2013 0:00, ,20274.1,82.05,CA,1.80201E+11,Gerle Creek,S,NM,1.80201E+11,0,0,0.497475402,525,0.273068039,0.00236877,Loon Lake,5628.669922,22.7784004,5
2,1,2,18580,{2FE786FB-CCB3-4AF2-A7D6-0BF182EB0EFB}, , , , ,1/18/2013 0:00, ,11964.48,48.42,CA,1.60501E+11,Independence Creek,S,NM,1.60501E+11,0,0,0.397118873,4704,0.23302435,0.002062749,Independence,4872.410156,19.7178993,18
3,1,3,24299,{7B26C9B7-E202-439A-8176-C4E5F1898CD2},{F33FD32C-EDD2-4F49-8DCB-29D87CFA08AA}, , , ,1/18/2013 0:00, ,19771.98,80.01,CA,1.80201E+11,Upper Shirttail Canyon,S,NM,1.80201E+11,0,0,0.392434363,581,0.212005153,0.001759859,Sugar Pine,4173.689941,16.8903008,8
4,1,4,27123,{0CE6916C-0153-4167-A539-B0321064DAD7}, , , , ,1/18/2013 0:00, ,18792.85,76.05,CA,1.60501E+11,Donner Creek,S,NM,1.60501E+11,0,0,0.507559065,4090,0.323850404,0.003650474,Donner Lake,8635.230469,34.9455986,17
5,1,5,31881,{17BD3DA8-FD66-487C-A28A-2D21A1A25412},{F33FD32C-EDD2-4F49-8DCB-29D87CFA08AA}, , , ,1/18/2013 0:00, ,23288.22,94.24,CA,1.80201E+11,North Fork of North Fork American River,S,GC,1.80201E+11,0,0,0.63493678,567,0.1868279,0.001222132,Lake Valley,2892.409912,11.7052002,7
6,1,6,50588,{2E29EA7B-E983-4407-B1CE-E9C2E48B3F0D},{F33FD32C-EDD2-4F49-8DCB-29D87CFA08AA}, , , ,1/18/2013 0:00, ,28978.01,117.27,CA,1.80201E+11,South Fork Silver Creek,S,NM,1.80201E+11,0,0,0.803484399,536,0.562770581,0.007278204,Ice House,17336.09961,70.1567001,6
7,1,7,51474,{ADCFA26B-571A-4908-A1FD-5969FE36E099},{F33FD32C-EDD2-4F49-8DCB-29D87CFA08AA}, , , ,1/18/2013 0:00, ,19419.33,78.59,CA,1.80201E+11,Pilot Creek,S,ID,1.80201E+11,0,0,0.71646201,458,0.431037936,0.004043167,Mark Edson,9620.139648,38.9313011,2
8,1,8,55986,{6E36C1EB-D9EF-47DD-9DD2-1EE24B0842F0},{F33FD32C-EDD2-4F49-8DCB-29D87CFA08AA}, , , ,1/18/2013 0:00, ,20235.82,81.89,CA,1.80201E+11,Caples Creek,S,NM,1.80201E+11,0,0,0.552553561,654,0.305949203,0.003690239,Caples Lake,8807.549805,35.6428986,10
9,1,9,149129,{3C193585-2764-45DF-A889-38E710951720},{F33FD32C-EDD2-4F49-8DCB-29D87CFA08AA}, , , ,1/18/2013 0:00, ,34334.51,138.95,CA,1.80201E+11,Fordyce Creek,S,DM,1.80201E+11,0,0,0.768375898,1565,0.461454324,0.007774698,Lake Fordyce,18373.30078,74.3542023,14
10,1,10,153477,{E3D538ED-E663-44F8-907E-542F86A3EFA0},{583A121C-02B0-45E9-BB74-9E39803FB47F}, , , ,2/1/2017 0:00, ,32241.05,130.48,CA,1.80201E+11,Bowman Lake-Canyon Creek,S,NM,1.80201E+11,0,0,0.724721575,747,0.434747677,0.006042126,Bowman,14270.5,57.7504997,11
